Movie Title
The Shawshank Redemption
The Godfather
The Dark Knight
Schindler's List
12 Angry Men
The Lord of the Rings: The Return of the King
Pulp Fiction
The Good
the Bad and the Ugly
Fight Club
Forrest Gump
Inception
The Lord of the Rings: The Fellowship of the Ring
Star Wars: Episode V - The Empire Strikes Back
The Lord of the Rings: The Two Towers
Goodfellas
One Flew Over the Cuckoo's Nest
The Matrix
Seven Samurai
Se7en
City of God
Life Is Beautiful
The Silence of the Lambs
It's a Wonderful Life
Saving Private Ryan
Parasite
Interstellar
The Green Mile
Léon: The Professional
The Usual Suspects
Harakiri
The Pianist
The Departed
Gladiator
Whiplash
The Prestige
The Intouchables
The Lion King
Terminator 2: Judgment Day
Back to the Future
Once Upon a Time in the West
Psycho
Casablanca
Modern Times
City Lights
Coco
American History X
Braveheart
Django Unchained
The Shining
WALL·E
Alien
Oldboy
Memento
Apocalypse Now
Raiders of the Lost Ark
The Great Dictator
Avengers: Infinity War
Sunset Blvd.
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Spider-Man: Into the Spider-Verse
Princess Mononoke
The Lives of Others
Grave of the Fireflies
Paths of Glory
The Hunt
The Wolf of Wall Street
A Beautiful Mind
Requiem for a Dream
There Will Be Blood
No Country for Old Men
The Grand Budapest Hotel
Joker
The Revenant
Children of Men
The Irishman
The Truman Show
Magnolia
Moonlight
Amélie
Birdman
The Social Network
Boyhood
Her
Eternal Sunshine of the Spotless Mind
Donnie Darko
The Florida Project
Manchester by the Sea
The Handmaiden
The Shape of Water
La La Land
Lost in Translation
Roma
Call Me by Your Name
The Whale
Green Book
A Star Is Born
Marriage Story
The Father
Sound of Metal
Everything Everywhere All at Once
Citizen Kane
Lawrence of Arabia
Vertigo
Rear Window
North by Northwest
The Apartment
The Sting
Raging Bull
Rocky
Taxi Driver
E.T. the Extra-Terrestrial
The Terminator
Die Hard
The Godfather: Part II
Once Upon a Time in America
Scarface
The Big Lebowski
Fargo
The Sixth Sense
American Beauty
L.A. Confidential
Unforgiven
Scream
The Blair Witch Project
The Cabin in the Woods
The Exorcist
Rosemary's Baby
The Omen
Jaws
Close Encounters of the Third Kind
The Deer Hunter
Platoon
Full Metal Jacket
The Elephant Man
Amadeus
Ben-Hur
Spartacus
2001: A Space Odyssey
A Clockwork Orange
The Great Escape
